Monkey #;No. of traits;Points;Background;Points;Fur;Points;Clothes;Points;Mouth;Points;Eyes;Points;Nose Wear;Points;Face Masks;Points;Ears;Points;Eye Wear;Points;Head;Points;Total Score 
263;4;7.75;Purple;7.69;Zombie;14.29;Hawaiian shirt;71.43;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;Bandit mask;22.73;Sailors hat;37.04;195.16
264;3;5.38;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;Cross;16.67;N/A;1.09;N/A;1.31;N/A;1.45;Disco glasses;25.00;Vizor hat;55.56;165.36
265;3;5.38;Purple;7.69;Robot;16.67;Tuxedo;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;Silver bar earring;13.89;Disco glasses;25.00;N/A;2.01;183.15
266;3;5.38;Purple;7.69;Robot;16.67;Bandolier;66.67;Frown;1.64;Red hypnotised;16.13;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;N/A;2.01;171.63
267;4;7.75;Purple;7.69;Zombie;14.29;Straight jacket;41.67;Frown;1.64;Multicoloured;20.00;N/A;1.09;Cyborg;41.67;Silver bar earring;13.89;N/A;1.97;Spike helmet;41.67;193.33
268;3;5.38;Purple;7.69;Zombie;14.29;Straight jacket;41.67;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Spike helmet;41.67;147.67
269;4;7.75;Purple;7.69;Robot;16.67;Waistcoat;55.56;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Cyborg eye;27.78;Vizor hat;55.56;227.95
270;4;7.75;Purple;7.69;Red;11.11;Straight jacket;41.67;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Ski mask;35.71;Bowler hat;58.82;219.69
271;3;5.38;Purple;7.69;Robot;16.67;Tuxedo;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Silver bar earring;13.89;N/A;1.97;Top hat;66.67;250.76
272;3;5.38;Purple;7.69;Robot;16.67;Hawaiian shirt;71.43;Missing teeth;16.13;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Trapper hat;40.00;180.17
273;3;5.38;Purple;7.69;Robot;16.67;Shirt & sweater;50.00;Silver teeth;20.00;Multicoloured;20.00;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;N/A;2.01;140.01
274;3;5.38;Purple;7.69;Robot;16.67;Hawaiian shirt;71.43;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Bandit mask;22.73;Sailors hat;37.04;179.95
275;3;5.38;Purple;7.69;Red;11.11;Straight jacket;41.67;Frown;1.64;Multicoloured;20.00;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Beret;43.48;149.23
276;3;5.38;Purple;7.69;Robot;16.67;Double sword holster;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Disco glasses;25.00;N/A;2.01;176.19
277;3;5.38;Purple;7.69;Cream;12.50;Shirt & sweater;50.00;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Bowler hat;58.82;171.36
278;4;7.75;Purple;7.69;Cream;12.50;Striped t-shirt;43.48;Silver teeth;20.00;Red hypnotised;16.13;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Cyborg eye;27.78;N/A;2.01;153.63
279;3;5.38;Purple;7.69;Red;11.11;FLAK vest;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;Silver bar earring;13.89;Ski mask;35.71;N/A;2.01;214.28
280;4;7.75;Purple;7.69;Cream;12.50;FLAK vest;71.43;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;Cyborg eye;27.78;Turban;47.62;209.00
281;3;5.38;Purple;7.69;Cream;12.50;Striped t-shirt;43.48;Frown;1.64;Cross;16.67;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Long hair;45.45;153.85
282;3;5.38;Purple;7.69;Robot;16.67;Striped t-shirt;43.48;Side smile;13.33;Red hypnotised;16.13;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;N/A;2.01;125.73
283;3;5.38;Purple;7.69;Red;11.11;Waistcoat;55.56;Frown;1.64;Red hypnotised;16.13;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;N/A;2.01;154.96
284;3;5.38;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;Beret;43.48;165.03
285;4;7.75;Purple;7.69;Zombie;14.29;Body armor;76.92;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Cyborg eye;27.78;Trapper hat;40.00;212.55
286;4;7.75;Purple;7.69;Red;11.11;Shirt & sweater;50.00;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;Bandit mask;22.73;Beret;43.48;176.99
287;3;5.38;Purple;7.69;Red;11.11;Striped t-shirt;43.48;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Sailors hat;37.04;138.12
288;3;5.38;Purple;7.69;Cream;12.50;Waistcoat;55.56;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;Ski mask;35.71;N/A;2.01;159.75
289;3;5.38;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;Fire;22.22;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Beret;43.48;148.24
290;3;5.38;Purple;7.69;Cream;12.50;Turtleneck jumper;38.46;Frown;1.64;Multicoloured;20.00;N/A;1.09;Leather;50.00;N/A;1.45;Eyebrow ring;31.25;N/A;2.01;171.47
291;3;5.38;Purple;7.69;Zombie;14.29;Shirt & sweater;50.00;Frown;1.64;Fire;22.22;N/A;1.09;Horror;100.00;Silver bar earring;13.89;N/A;1.97;N/A;2.01;220.18
292;4;7.75;Purple;7.69;Red;11.11;Dinner suit;52.63;Frown;1.64;Fire;22.22;N/A;1.09;Oxygen mask;62.50;Silver bar earring;13.89;Bandit mask;22.73;N/A;2.01;205.26
293;3;5.38;Purple;7.69;Zombie;14.29;Dinner suit;52.63;Frown;1.64;Fire;22.22;N/A;1.09;Horror;100.00;Silver bar earring;13.89;N/A;1.97;N/A;2.01;222.81
294;4;7.75;Purple;7.69;Red;11.11;Tuxedo;62.50;Missing teeth;16.13;Red hypnotised;16.13;N/A;1.09;N/A;1.31;Earphones;16.67;Eyebrow ring;31.25;N/A;2.01;173.64
295;4;7.75;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;Cross;16.67;N/A;1.09;Leather;50.00;Silver bar earring;13.89;Eyebrow ring;31.25;N/A;2.01;181.56
296;3;5.38;Purple;7.69;Cream;12.50;Baseball jersey;40.00;Frown;1.64;Cross;16.67;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Beret;43.48;145.62
297;4;7.75;Purple;7.69;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;Multicoloured;20.00;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Disco glasses;25.00;Trapper hat;40.00;167.94
298;3;5.38;Purple;7.69;Red;11.11;Shirt & sweater;50.00;Frown;1.64;Fire;22.22;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Eyebrow ring;31.25;N/A;2.01;147.59
299;3;5.38;Purple;7.69;Robot;16.67;Double sword holster;62.50;Frown;1.64;Fire;22.22;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;N/A;2.01;173.55
300;4;7.75;Purple;7.69;Zombie;14.29;FLAK vest;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;Bandit mask;22.73;Long hair;45.45;226.28
301;3;5.38;Green;6.06;Cream;12.50;Turtleneck jumper;38.46;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Bandit mask;22.73;N/A;2.01;125.26
302;2;1.87;Green;6.06;Zombie;14.29;Bandolier;66.67;Missing teeth;16.13;Red hypnotised;16.13;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;N/A;2.01;128.98
303;3;5.38;Green;6.06;Zombie;14.29;Striped t-shirt;43.48;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Eyebrow ring;31.25;N/A;2.01;134.69
304;3;5.38;Green;6.06;Cream;12.50;Bandolier;66.67;Goofy smile;18.52;Cross;16.67;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;N/A;2.01;148.85
305;2;1.87;Green;6.06;Red;11.11;Baseball jersey;40.00;Frown;1.64;N/A;1.83;N/A;1.09;Clown;125.00;N/A;1.45;N/A;1.97;Trapper hat;40.00;232.02
306;2;1.87;Green;6.06;Cream;12.50;Hawaiian shirt;71.43;Frown;1.64;Cross;16.67;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;N/A;2.01;133.22
307;2;1.87;Green;6.06;Robot;16.67;Hawaiian shirt;71.43;Frown;1.64;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;Hard hat;50.00;181.13
308;3;5.38;Green;6.06;Robot;16.67;Dinner suit;52.63;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;Silver bar earring;13.89;N/A;1.97;Beret;43.48;227.97
309;2;1.87;Green;6.06;Red;11.11;Straight jacket;41.67;Frown;1.64;Cross;16.67;N/A;1.09;Hazard helmet;166.67;N/A;1.45;N/A;1.97;N/A;2.01;252.21
310;3;5.38;Green;6.06;Robot;16.67;Tuxedo;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Silver bar earring;13.89;N/A;1.97;Vizor hat;55.56;238.02
311;3;5.38;Green;6.06;Robot;16.67;Double sword holster;62.50;Frown;1.64;Red hypnotised;16.13;N/A;1.09;Horror;100.00;Silver bar earring;13.89;N/A;1.97;N/A;2.01;227.34
312;2;1.87;Green;6.06;Cream;12.50;Turtleneck jumper;38.46;Side smile;13.33;Red hypnotised;16.13;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;N/A;2.01;96.18
313;3;5.38;Green;6.06;Cream;12.50;Baseball jersey;40.00;Frown;1.64;Multicoloured;20.00;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;Punk hair;62.50;166.34
314;2;1.87;Green;6.06;Robot;16.67;Bandolier;66.67;Frown;1.64;Multicoloured;20.00;N/A;1.09;Hazard helmet;166.67;N/A;1.45;N/A;1.97;N/A;2.01;286.10
315;2;1.87;Green;6.06;Cream;12.50;Turtleneck jumper;38.46;Goofy smile;18.52;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Beret;43.48;128.54
316;3;5.38;Green;6.06;Red;11.11;Body armor;76.92;Silver teeth;20.00;Cross;16.67;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;N/A;2.01;156.41
317;3;5.38;Green;6.06;Cream;12.50;Puffa jacket;58.82;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Long hair;45.45;171.08
318;2;1.87;Green;6.06;Zombie;14.29;Bandolier;66.67;Frown;1.64;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Cyborg eye;27.78;N/A;2.01;138.44
319;2;1.87;Green;6.06;Cream;12.50;Bandolier;66.67;Missing teeth;16.13;Red hypnotised;16.13;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;N/A;2.01;127.19
320;3;5.38;Green;6.06;Zombie;14.29;Puffa jacket;58.82;Frown;1.64;Fire;22.22;N/A;1.09;N/A;1.31;Earphones;16.67;Ski mask;35.71;N/A;2.01;165.20
321;2;1.87;Green;6.06;Cream;12.50;Puffa jacket;58.82;Frown;1.64;Red hypnotised;16.13;N/A;1.09;Hazard helmet;166.67;N/A;1.45;N/A;1.97;N/A;2.01;270.21
322;2;1.87;Green;6.06;Cream;12.50;Double sword holster;62.50;Frown;1.64;Red hypnotised;16.13;N/A;1.09;Hazard helmet;166.67;N/A;1.45;N/A;1.97;N/A;2.01;273.89
323;2;1.87;Green;6.06;Cream;12.50;Waistcoat;55.56;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;N/A;1.45;N/A;1.97;Top hat;66.67;233.97
324;3;5.38;Green;6.06;Cream;12.50;Army jacket;45.45;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;Spike helmet;41.67;157.85
325;3;5.38;Green;6.06;Red;11.11;Striped t-shirt;43.48;Frown;1.64;Fire;22.22;N/A;1.09;N/A;1.31;Silver bar earring;13.89;Bandit mask;22.73;N/A;2.01;130.92
326;2;1.87;Green;6.06;Red;11.11;Tuxedo;62.50;Goofy smile;18.52;Multicoloured;20.00;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;N/A;2.01;127.89
327;2;1.87;Green;6.06;Robot;16.67;Shirt & sweater;50.00;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;N/A;2.01;130.07
328;2;1.87;Green;6.06;Red;11.11;Turtleneck jumper;38.46;Missing teeth;16.13;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;N/A;2.01;95.73
329;2;1.87;Green;6.06;Cream;12.50;FLAK vest;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Silver bar earring;13.89;N/A;1.97;N/A;2.01;185.72
330;2;1.87;Green;6.06;Red;11.11;Body armor;76.92;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;N/A;1.45;N/A;1.97;Beret;43.48;230.75
331;3;5.38;Green;6.06;Robot;16.67;Striped t-shirt;43.48;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;Spike helmet;41.67;164.29
332;2;1.87;Green;6.06;Cream;12.50;Puffa jacket;58.82;Missing teeth;16.13;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Disco glasses;25.00;N/A;2.01;128.07
333;2;1.87;Green;6.06;Red;11.11;Dinner suit;52.63;Frown;1.64;N/A;1.83;N/A;1.09;Clown;125.00;N/A;1.45;N/A;1.97;Sailors hat;37.04;241.69
334;2;1.87;Green;6.06;Robot;16.67;Shirt & sweater;50.00;Frown;1.64;Multicoloured;20.00;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;N/A;2.01;119.29
335;3;5.38;Green;6.06;Cream;12.50;FLAK vest;71.43;Side smile;13.33;Multicoloured;20.00;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;N/A;2.01;151.75
336;3;5.38;Green;6.06;Red;11.11;Bandolier;66.67;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;N/A;1.45;Bandit mask;22.73;Sailors hat;37.04;217.50
337;2;1.87;Green;6.06;Robot;16.67;Tuxedo;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Silver bar earring;13.89;N/A;1.97;N/A;2.01;180.96
338;2;1.87;Green;6.06;Cream;12.50;Straight jacket;41.67;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;N/A;2.01;123.02
339;2;1.87;Green;6.06;Zombie;14.29;Puffa jacket;58.82;Frown;1.64;Fire;22.22;N/A;1.09;Clown;125.00;N/A;1.45;N/A;1.97;N/A;2.01;236.42
340;3;5.38;Green;6.06;Red;11.11;Turtleneck jumper;38.46;Missing teeth;16.13;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;Bandit mask;22.73;N/A;2.01;122.78
341;3;5.38;Green;6.06;Robot;16.67;Waistcoat;55.56;Frown;1.64;Cross;16.67;N/A;1.09;Half skeleton;45.45;N/A;1.45;Cyborg eye;27.78;N/A;2.01;179.76
342;2;1.87;Green;6.06;Robot;16.67;FLAK vest;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;N/A;1.45;N/A;1.97;Trapper hat;40.00;227.34
343;2;1.87;Green;6.06;Cream;12.50;Shirt & sweater;50.00;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;N/A;2.01;115.31
344;2;1.87;Green;6.06;Robot;16.67;Shirt & sweater;50.00;Missing teeth;16.13;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;N/A;2.01;126.20
345;2;1.87;Green;6.06;Cream;12.50;Straight jacket;41.67;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Silver bar earring;13.89;N/A;1.97;N/A;2.01;155.96
346;3;5.38;Green;6.06;Red;11.11;Striped t-shirt;43.48;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;Silver bar earring;13.89;Eyebrow ring;31.25;N/A;2.01;163.19
347;2;1.87;Green;6.06;Zombie;14.29;Double sword holster;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;N/A;1.45;Ski mask;35.71;N/A;2.01;190.95
348;3;5.38;Green;6.06;Cream;12.50;Bandolier;66.67;Frown;1.64;N/A;1.83;N/A;1.09;Gas mask;35.71;Earphones;16.67;N/A;1.97;Long hair;45.45;194.97
349;2;1.87;Green;6.06;Red;11.11;Tuxedo;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Leather;50.00;N/A;1.45;Disco glasses;25.00;N/A;2.01;164.56
350;2;1.87;Green;6.06;Cream;12.50;Army jacket;45.45;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;N/A;2.01;115.45
351;3;5.38;Green;6.06;Robot;16.67;Body armor;76.92;Missing teeth;16.13;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Long hair;45.45;189.48
352;3;5.38;Green;6.06;Red;11.11;Striped t-shirt;43.48;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;Earphones;16.67;Disco glasses;25.00;N/A;2.01;128.04
353;2;1.87;Green;6.06;Zombie;14.29;Bandolier;66.67;Frown;1.64;Multicoloured;20.00;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;N/A;2.01;144.17
354;2;1.87;Green;6.06;Cream;12.50;Straight jacket;41.67;Frown;1.64;N/A;1.83;N/A;1.09;N/A;1.31;Earphones;16.67;N/A;1.97;Spike helmet;41.67;128.28
355;2;1.87;Green;6.06;Red;11.11;Army jacket;45.45;Goofy smile;18.52;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;N/A;2.01;105.11
356;2;1.87;Green;6.06;Zombie;14.29;Army jacket;45.45;Goofy smile;18.52;N/A;1.83;N/A;1.09;N/A;1.31;Silver bar earring;13.89;N/A;1.97;N/A;2.01;108.29
357;2;1.87;Green;6.06;Red;11.11;Straight jacket;41.67;Frown;1.64;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;N/A;1.97;Bowler hat;58.82;139.27
358;2;1.87;Green;6.06;Cream;12.50;Striped t-shirt;43.48;Frown;1.64;Cross;16.67;N/A;1.09;Horror;100.00;N/A;1.45;N/A;1.97;N/A;2.01;188.74
359;2;1.87;Green;6.06;Zombie;14.29;Tuxedo;62.50;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;N/A;1.45;Ski mask;35.71;N/A;2.01;142.22
360;3;5.38;Green;6.06;Zombie;14.29;Waistcoat;55.56;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Stud earrings;11.90;N/A;1.97;Hard hat;50.00;221.15
361;2;1.87;Green;6.06;Robot;16.67;Hawaiian shirt;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;N/A;1.45;N/A;1.97;Man bun;52.63;228.07
362;2;1.87;Green;6.06;Zombie;14.29;Striped t-shirt;43.48;Goofy smile;18.52;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;N/A;1.97;N/A;2.01;104.33
363;2;1.87;Green;6.06;Robot;16.67;Striped t-shirt;43.48;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Stud earrings;11.90;N/A;1.97;N/A;2.01;159.95
364;3;5.38;Green;6.06;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;N/A;1.83;N/A;1.09;Half skeleton;45.45;Stud earrings;11.90;Cyborg eye;27.78;N/A;2.01;152.71
365;2;1.87;Green;6.06;Red;11.11;Shirt & sweater;50.00;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;N/A;1.45;N/A;1.97;Turban;47.62;207.97
366;2;1.87;Green;6.06;Zombie;14.29;Dinner suit;52.63;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;Stud earrings;11.90;N/A;1.97;N/A;2.01;178.62
367;2;1.87;Green;6.06;Cream;12.50;Hawaiian shirt;71.43;Goofy smile;18.52;Red hypnotised;16.13;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;N/A;2.01;134.34
368;2;1.87;Green;6.06;Cream;12.50;Baseball jersey;40.00;Frown;1.64;Multicoloured;20.00;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;N/A;2.01;119.18
369;3;5.38;Green;6.06;Red;11.11;Hawaiian shirt;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;Stud earrings;11.90;N/A;1.97;Top hat;66.67;250.51
370;2;1.87;Green;6.06;Robot;16.67;Army jacket;45.45;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;N/A;1.97;N/A;2.01;110.16
371;2;1.87;Green;6.06;Zombie;14.29;Army jacket;45.45;Missing teeth;16.13;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;N/A;2.01;122.74
372;3;5.38;Green;6.06;Robot;16.67;Baseball jersey;40.00;Frown;1.64;N/A;1.83;N/A;1.09;Oxygen mask;62.50;Stud earrings;11.90;Bandit mask;22.73;N/A;2.01;171.81
373;2;1.87;Green;6.06;Red;11.11;Dinner suit;52.63;Frown;1.64;Red hypnotised;16.13;N/A;1.09;Hazard helmet;166.67;N/A;1.45;N/A;1.97;N/A;2.01;262.63
374;2;1.87;Green;6.06;Robot;16.67;Tuxedo;62.50;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;N/A;1.45;Cyborg eye;27.78;N/A;2.01;136.67
375;2;1.87;Green;6.06;Zombie;14.29;Double sword holster;62.50;Frown;1.64;N/A;1.83;N/A;1.09;Machine;71.43;N/A;1.45;N/A;1.97;Man bun;52.63;216.76
376;3;5.38;Green;6.06;Cream;12.50;Baseball jersey;40.00;Missing teeth;16.13;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;Ski mask;35.71;N/A;2.01;133.92
377;3;5.38;Green;6.06;Zombie;14.29;Puffa jacket;58.82;Frown;1.64;Cross;16.67;N/A;1.09;N/A;1.31;N/A;1.45;Bandit mask;22.73;Long hair;45.45;174.89
378;3;5.38;Green;6.06;Zombie;14.29;Dinner suit;52.63;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Eyebrow ring;31.25;Top hat;66.67;195.29
379;2;1.87;Green;6.06;Zombie;14.29;Dinner suit;52.63;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;N/A;1.97;N/A;2.01;108.29
380;2;1.87;Green;6.06;Zombie;14.29;Army jacket;45.45;Goofy smile;18.52;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;N/A;1.97;N/A;2.01;106.30
381;2;1.87;Green;6.06;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;Wide eyed;14.29;N/A;1.09;Clown;125.00;N/A;1.45;N/A;1.97;N/A;2.01;204.95
382;2;1.87;Green;6.06;Red;11.11;Turtleneck jumper;38.46;Frown;1.64;N/A;1.83;N/A;1.09;Horror;100.00;Stud earrings;11.90;N/A;1.97;N/A;2.01;177.94
383;2;1.87;Green;6.06;Cream;12.50;Straight jacket;41.67;Frown;1.64;Red hypnotised;16.13;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Bowler hat;58.82;144.51
384;2;1.87;Green;6.06;Robot;16.67;Body armor;76.92;Goofy smile;18.52;Wide eyed;14.29;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;N/A;2.01;142.16
385;2;1.87;Green;6.06;Red;11.11;Striped t-shirt;43.48;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Hard hat;50.00;140.17
386;2;1.87;Green;6.06;Red;11.11;Puffa jacket;58.82;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;N/A;1.45;N/A;1.97;Top hat;66.67;235.84
387;3;5.38;Green;6.06;Robot;16.67;Waistcoat;55.56;Frown;1.64;Cross;16.67;N/A;1.09;Horror;100.00;Stud earrings;11.90;N/A;1.97;N/A;2.01;218.95
388;2;1.87;Green;6.06;Zombie;14.29;Bandolier;66.67;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;N/A;1.97;N/A;2.01;122.33
389;2;1.87;Green;6.06;Robot;16.67;Army jacket;45.45;Side smile;13.33;Multicoloured;20.00;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;N/A;2.01;111.21
390;2;1.87;Green;6.06;Cream;12.50;FLAK vest;71.43;Frown;1.64;Fire;22.22;N/A;1.09;N/A;1.31;Stud earrings;11.90;N/A;1.97;N/A;2.01;134.00
391;2;1.87;Green;6.06;Robot;16.67;Striped t-shirt;43.48;Silver teeth;20.00;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;Punk hair;62.50;158.23
392;3;5.38;Green;6.06;Robot;16.67;Shirt & sweater;50.00;Goofy smile;18.52;N/A;1.83;N/A;1.09;N/A;1.31;Stud earrings;11.90;N/A;1.97;Vizor hat;55.56;170.29
393;2;1.87;Green;6.06;Cream;12.50;Turtleneck jumper;38.46;Silver teeth;20.00;Red hypnotised;16.13;N/A;1.09;N/A;1.31;N/A;1.45;N/A;1.97;N/A;2.01;102.85
394;3;5.38;Green;6.06;Zombie;14.29;Bandolier;66.67;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;Stud earrings;11.90;N/A;1.97;Bowler hat;58.82;252.98
395;2;1.87;Green;6.06;Zombie;14.29;FLAK vest;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Horror;100.00;Stud earrings;11.90;N/A;1.97;N/A;2.01;214.09
396;2;1.87;Green;6.06;Red;11.11;Hawaiian shirt;71.43;Frown;1.64;N/A;1.83;N/A;1.09;Robot;83.33;Stud earrings;11.90;N/A;1.97;N/A;2.01;194.24
397;3;5.38;Green;6.06;Cream;12.50;FLAK vest;71.43;Missing teeth;16.13;Fire;22.22;N/A;1.09;N/A;1.31;N/A;1.45;Disco glasses;25.00;N/A;2.01;164.58
398;3;5.38;Green;6.06;Red;11.11;Double sword holster;62.50;Frown;1.64;Wide eyed;14.29;N/A;1.09;N/A;1.31;N/A;1.45;Disco glasses;25.00;Man bun;52.63;182.46
399;2;1.87;Green;6.06;Red;11.11;Straight jacket;41.67;Side smile;13.33;N/A;1.83;N/A;1.09;N/A;1.31;N/A;1.45;Disco glasses;25.00;N/A;2.01;106.73
